category,metric,value,unit,source_file,verification_note
dataset,topcoder_rows,22023,rows,analysis/output/challenges_summary.csv,Verified from checked-in summary CSV
dataset,topcoder_rows_raw_export,22023,rows,data/raw/tasks.csv,Verified from checked-in raw export
dataset,topcoder_rows_corpus_index,22023,rows,data/topcoder/corpus_index.jsonl,Verified by line count
dataset,topcoder_rows_xlsx,22023,rows,Challenges.xlsx,Verified by loading workbook rows
dataset,legacy_old_xlsx_rows,34685,rows,old_Challenges.xlsx,Legacy workbook not used as paper denominator
dataset,raw_workers,402280,rows,data/raw/workers.csv,Verified from current raw artifact
dataset,raw_interactions,425704,rows,data/raw/interactions.csv,Verified from current raw artifact
dataset,executable_subset,3966,rows,data/topcoder/executable_subset.jsonl,Verified by line count
dataset,duplicate_groups,2060,groups,data/topcoder/corpus_summary.json,Verified from corpus summary
benchmark,validated_manifest_tasks,37,tasks,data/capability_clash/manifest.jsonl,Verified unique task count
benchmark,reportable_matrix_tasks,30,tasks,reports/capability_clash/capability_clash_task_matrix.csv,Verified published matrix denominator
benchmark,total_runs,480,runs,reports/capability_clash/capability_clash_results.csv,Verified row count
benchmark,total_test_passing_runs,72,runs,reports/capability_clash/capability_clash_results.csv,Verified by summing final_pass
benchmark,overall_pass_rate,0.15,rate,reports/capability_clash/capability_clash_results.csv,Verified by recomputation
benchmark,gpt_4_1_mini_pass_rate,0.204167,rate,reports/capability_clash/capability_clash_results.csv,Verified by recomputation
benchmark,gpt_4_1_nano_pass_rate,0.095833,rate,reports/capability_clash/capability_clash_results.csv,Verified by recomputation
benchmark,model_gap,0.108333,rate,reports/capability_clash/capability_clash_results.csv,Mini minus nano overall pass rate
benchmark,best_fixed_mini,0.233333,rate,reports/capability_clash/capability_clash_results.csv,contract_first
benchmark,oracle_route_mini,0.333333,rate,reports/capability_clash/capability_clash_results.csv,Per-task upper bound
benchmark,best_fixed_nano,0.166667,rate,reports/capability_clash/capability_clash_results.csv,pattern_skeleton
benchmark,oracle_route_nano,0.2,rate,reports/capability_clash/capability_clash_results.csv,Per-task upper bound
benchmark,max_strategy_spread,25.0,pp,reports/capability_clash/family_level_results.csv,compensating_dual_mutation
benchmark,hardest_family_pass_rate,0.053571,rate,reports/capability_clash/family_level_results.csv,semantic_shadow_mutation
audit,overall_disagreement_rate,0.15,rate,reports/capability_clash/semantic_audit_results.csv,Matches incomplete-fix rate
audit,total_passing_runs,72,runs,reports/capability_clash/semantic_audit_results.csv,Verified by final_pass column
audit,passes_flagged_incomplete,72,runs,reports/capability_clash/semantic_audit_results.csv,All passes flagged incomplete
audit,overall_patch_completeness,0.0,score,reports/capability_clash/semantic_audit_results.csv,Mean patch completeness
verifier,rule_precision,1.0,score,reports/capability_clash/verifier_results.csv,target_file_recall < 1.0 rule
verifier,rule_recall,0.166667,score,reports/capability_clash/verifier_results.csv,target_file_recall < 1.0 rule
verifier,rule_f1,0.285714,score,reports/capability_clash/verifier_results.csv,target_file_recall < 1.0 rule
verifier,logistic_regression_f1,0.0,score,reports/capability_clash/verifier_results.csv,Negative result
verifier,llm_judge_noref_precision,1.0,score,reports/ase2026_aegis/llm_judge_results.csv,gpt-4.1-mini no-reference — perfect precision
verifier,llm_judge_noref_recall,0.444444,score,reports/ase2026_aegis/llm_judge_results.csv,32/72 incomplete patches correctly flagged
verifier,llm_judge_noref_f1,0.615385,score,reports/ase2026_aegis/llm_judge_results.csv,115% improvement over rule-based F1=0.286
verifier,llm_judge_false_loc_detection,0.875,score,reports/ase2026_aegis/llm_judge_results.csv,14/16 false_localization_trap detected (no-reference)
verifier,llm_judge_shadow_detection,0.833333,score,reports/ase2026_aegis/llm_judge_results.csv,5/6 semantic_shadow_mutation detected (no-reference)
verifier,llm_judge_incomplete_detection_noref,0.0,score,reports/ase2026_aegis/llm_judge_results.csv,0/12 incomplete_patch_trap detected (no-reference) — multi-criterion opacity
verifier,llm_judge_gt_mini_f1,0.992754,score,reports/ase2026_aegis/llm_judge_gt_results.csv,gpt-4.1-mini + GT patch — 71/72 detected — crosses F1>=0.8 threshold
verifier,llm_judge_gt_mini_recall,0.986111,score,reports/ase2026_aegis/llm_judge_gt_results.csv,71/72 — near-perfect recall
verifier,llm_judge_gt_t3_f1,0.917431,score,reports/ase2026_aegis/llm_judge_t3_results.csv,gpt-4.1 + GT patch — 61/72 detected — also crosses threshold
verifier,llm_judge_gt_t3_recall,0.847222,score,reports/ase2026_aegis/llm_judge_t3_results.csv,61/72 — mini+GT beats T3+GT (calibration > model scale)
verifier,multi_criterion_opacity_runs,40,runs,reports/ase2026_aegis/llm_judge_results.csv,40 runs fool judge on ALL 5 criteria simultaneously
