run_id,task_id,model,strategy,canonical_status,exclusion_reason,review_status,setup_status,execution_status,num_rounds,trace_path,trace_exists,initial_pass_count,final_pass_count,manifest_schema_version,repair_attempted,semantic_completeness,completeness_available,completeness_method,completeness_version
cc_braindecode_maxnorm_shadow__gpt-4.1-mini__contract_first,cc_braindecode_maxnorm_shadow,gpt-4.1-mini,contract_first,Canonical_Core,,Reviewed,success,Completed,0.0,reports/decomposition/traces/contract_first/cc_braindecode_maxnorm_shadow.json,False,1.0,1.0,1.0,True,0.0,True,semantic_audit,1.0
cc_braindecode_maxnorm_shadow__gpt-4.1-mini__direct_baseline,cc_braindecode_maxnorm_shadow,gpt-4.1-mini,direct_baseline,Canonical_Core,,Reviewed,success,Repair_Failed,2.0,reports/decomposition/traces/direct_baseline/cc_braindecode_maxnorm_shadow.json,False,0.0,0.0,1.0,True,0.0,True,semantic_audit,1.0
cc_braindecode_maxnorm_shadow__gpt-4.1-mini__failure_mode_first,cc_braindecode_maxnorm_shadow,gpt-4.1-mini,failure_mode_first,Canonical_Core,,Reviewed,success,Repair_Failed,2.0,reports/decomposition/traces/failure_mode_first/cc_braindecode_maxnorm_shadow.json,False,0.0,0.0,1.0,True,0.0,True,semantic_audit,1.0
cc_braindecode_maxnorm_shadow__gpt-4.1-mini__multi_view,cc_braindecode_maxnorm_shadow,gpt-4.1-mini,multi_view,Canonical_Core,,Reviewed,success,Completed,0.0,reports/decomposition/traces/multi_view/cc_braindecode_maxnorm_shadow.json,False,1.0,1.0,1.0,True,0.0,True,semantic_audit,1.0
cc_braindecode_maxnorm_shadow__gpt-4.1-mini__pattern_skeleton,cc_braindecode_maxnorm_shadow,gpt-4.1-mini,pattern_skeleton,Canonical_Core,,Reviewed,success,Repair_Failed,2.0,reports/decomposition/traces/pattern_skeleton/cc_braindecode_maxnorm_shadow.json,False,0.0,0.0,1.0,True,0.0,True,semantic_audit,1.0
cc_braindecode_maxnorm_shadow__gpt-4.1-mini__role_decomposed,cc_braindecode_maxnorm_shadow,gpt-4.1-mini,role_decomposed,Canonical_Core,,Reviewed,success,Repair_Failed,2.0,reports/decomposition/traces/role_decomposed/cc_braindecode_maxnorm_shadow.json,False,0.0,0.0,1.0,True,0.0,True,semantic_audit,1.0
cc_braindecode_maxnorm_shadow__gpt-4.1-mini__semantic_diff,cc_braindecode_maxnorm_shadow,gpt-4.1-mini,semantic_diff,Canonical_Core,,Reviewed,success,Repair_Failed,2.0,reports/decomposition/traces/semantic_diff/cc_braindecode_maxnorm_shadow.json,False,0.0,0.0,1.0,True,0.0,True,semantic_audit,1.0
cc_braindecode_maxnorm_shadow__gpt-4.1-mini__simulation_trace,cc_braindecode_maxnorm_shadow,gpt-4.1-mini,simulation_trace,Canonical_Core,,Reviewed,success,Repair_Failed,2.0,reports/decomposition/traces/simulation_trace/cc_braindecode_maxnorm_shadow.json,False,0.0,0.0,1.0,True,0.0,True,semantic_audit,1.0
cc_braindecode_maxnorm_shadow__gpt-4.1-nano__contract_first,cc_braindecode_maxnorm_shadow,gpt-4.1-nano,contract_first,Canonical_Core,,Reviewed,success,Repair_Failed,2.0,reports/decomposition/traces/contract_first/cc_braindecode_maxnorm_shadow.json,False,0.0,0.0,1.0,True,0.0,True,semantic_audit,1.0
cc_braindecode_maxnorm_shadow__gpt-4.1-nano__direct_baseline,cc_braindecode_maxnorm_shadow,gpt-4.1-nano,direct_baseline,Canonical_Core,,Reviewed,success,Repair_Failed,2.0,reports/decomposition/traces/direct_baseline/cc_braindecode_maxnorm_shadow.json,False,0.0,0.0,1.0,True,0.0,True,semantic_audit,1.0
cc_braindecode_maxnorm_shadow__gpt-4.1-nano__failure_mode_first,cc_braindecode_maxnorm_shadow,gpt-4.1-nano,failure_mode_first,Canonical_Core,,Reviewed,success,Completed,0.0,reports/decomposition/traces/failure_mode_first/cc_braindecode_maxnorm_shadow.json,False,1.0,1.0,1.0,True,0.0,True,semantic_audit,1.0
cc_braindecode_maxnorm_shadow__gpt-4.1-nano__multi_view,cc_braindecode_maxnorm_shadow,gpt-4.1-nano,multi_view,Canonical_Core,,Reviewed,success,Repair_Failed,2.0,reports/decomposition/traces/multi_view/cc_braindecode_maxnorm_shadow.json,False,0.0,0.0,1.0,True,0.0,True,semantic_audit,1.0
