task_id,strategy,model,mutation_family,verdict,confidence,c1_complete,c2_equivalent,c3_minimal,c4_targeted,c5_family_aware,has_gt,has_patch,reasoning,tokens
cc_braindecode_maxnorm_shadow,contract_first,gpt-4.1-mini,semantic_shadow_mutation,FAIL,0.95,False,False,False,False,False,True,True,"The proposed patch does not complete the fix from the ground-truth: it changes the clamp bounds incorrectly (clamping min to eps instead of max_norm_val), introduces an incomplete line with a syntax error, and does not modify the same location as the ground-truth patch, thus failing to properly fix the semantic shadow mutation.",1391
cc_braindecode_maxnorm_shadow,multi_view,gpt-4.1-mini,semantic_shadow_mutation,FAIL,0.95,False,False,False,False,False,True,True,"The proposed patch modifies the MaxNormParametrize.forward method, changing the comment and the maxnorm argument, which is unrelated to the ground-truth patch that fixes the Min clamp in MaxNorm.forward and adds a comment in the test; thus it is incomplete, not equivalent, not minimal, not targeted, and not family-aware.",1346
cc_braindecode_maxnorm_shadow,failure_mode_first,gpt-4.1-nano,semantic_shadow_mutation,FAIL,0.9,False,False,True,True,True,True,True,"The proposed patch only fixes the clamp min value in the right_inverse method but misses the added comment in the test file, so it is incomplete and not fully equivalent to the ground-truth patch.",1303
cc_braindecode_maxnorm_shadow,pattern_skeleton,gpt-4.1-nano,semantic_shadow_mutation,FAIL,0.95,False,False,False,False,False,True,True,"The proposed patch changes the forward method implementation to a different scaling approach rather than fixing the clamp min value in the forward method as the ground-truth does; it also does not address the test file comment addition, and the right_inverse method is incomplete, thus it is incomplete, not equivalent, not minimal, not targeted, and not family-aware.",1455
cc_braindecode_maxnorm_shadow,semantic_diff,gpt-4.1-nano,semantic_shadow_mutation,FAIL,0.95,False,False,False,False,False,True,True,"The proposed patch does not modify the 'denom' clamp minimum to 'self.max_norm_val' as the ground-truth does; it instead clamps to 'self.eps' and is incomplete and truncated, missing the full fix and the test comment addition, thus failing completeness, equivalence, minimality, targeted location, and family-aware criteria.",1452
cc_braindecode_mixup_scalar_shadow,simulation_trace,gpt-4.1-mini,semantic_shadow_mutation,FAIL,1.0,False,False,False,False,False,True,False,"The proposed patch content is not available, so it cannot be verified to address the reinstatement of the original nll_loss fallback or the test guidance cleanup as the ground-truth patch does; thus it fails all criteria.",1164
cc_braindecode_mixup_weight_trap,contract_first,gpt-4.1-mini,false_localization_trap,FAIL,0.95,False,False,False,False,False,True,True,"The proposed patch only partially restores the original weighting by assigning ret = lam * loss_a and omitting the (1 - lam) * loss_b term, and it also removes the added comment in the test function, thus failing to fully and correctly fix the mutation as the ground-truth patch does.",1441
cc_braindecode_mixup_weight_trap,direct_baseline,gpt-4.1-mini,false_localization_trap,FAIL,0.95,False,False,False,False,False,True,True,"The proposed patch only partially restores the original weighting by assigning ret = lam * loss_a and omitting the (1 - lam) * loss_b term, and it also truncates the test_mixup_criterion function incorrectly, thus failing to fully and correctly address the mutation as the ground-truth patch does.",1444
cc_braindecode_mixup_weight_trap,semantic_diff,gpt-4.1-mini,false_localization_trap,PASS,1.0,True,True,True,True,True,True,True,"The proposed patch correctly restores the original mixup weighting order and removes the misleading comment in the test, matching the ground-truth patch exactly in semantics and location without unnecessary changes.",1329
cc_braindecode_temporal_mask_misorder,contract_first,gpt-4.1-mini,temporal_state_inconsistency,FAIL,0.95,False,False,False,False,False,True,True,"The proposed patch incorrectly reverses the order of slicing and masking compared to the ground-truth, introduces a syntax error with an incomplete line 'masked_targets', and omits the test comment addition, thus failing to fully and correctly fix the mutation.",1346
cc_braindecode_temporal_mask_misorder,direct_baseline,gpt-4.1-mini,temporal_state_inconsistency,FAIL,0.95,False,False,True,False,False,True,True,"The proposed patch makes no changes to the code or test files, failing to reorder the slicing and masking in TimeSeriesLoss and to remove the misleading hint in the test, thus it is incomplete, not equivalent, and not targeted to the mutation.",1342
cc_braindecode_temporal_mask_misorder,failure_mode_first,gpt-4.1-mini,temporal_state_inconsistency,FAIL,0.9,False,False,True,True,True,True,True,"The proposed patch reorders slicing and masking but omits the crucial line 'masked_targets = targets[mask]' and 'masked_preds = preds[mask]' present in the ground-truth, making it incomplete and semantically different.",1344
cc_braindecode_temporal_mask_misorder,multi_view,gpt-4.1-mini,temporal_state_inconsistency,FAIL,0.9,False,False,True,True,True,True,True,"The proposed patch reorders the slicing and masking correctly but misses the test file comment addition present in the ground-truth patch, making it incomplete and not fully equivalent.",1331
cc_braindecode_temporal_mask_misorder,pattern_skeleton,gpt-4.1-mini,temporal_state_inconsistency,FAIL,0.95,False,False,True,True,True,True,True,"The proposed patch reorders slicing targets before masking, which is the opposite of the ground-truth fix that slices targets after masking; it also omits the test comment addition, making it incomplete and semantically different.",1341
cc_braindecode_temporal_mask_misorder,role_decomposed,gpt-4.1-mini,temporal_state_inconsistency,FAIL,0.95,False,False,True,True,True,True,True,"The proposed patch reorders slicing and masking but omits the creation of masked_targets and masked_preds, which the ground-truth patch includes, making it incomplete and not semantically equivalent.",1335
cc_braindecode_temporal_mask_misorder,semantic_diff,gpt-4.1-mini,temporal_state_inconsistency,FAIL,0.95,False,False,True,True,False,True,True,"The proposed patch only reorders slicing and masking in the losses.py file but omits the crucial comment addition in the test file and misses the correct order of operations (masking before slicing) as in the ground-truth; thus it is incomplete, not semantically equivalent, and not fully family-aware.",1359
cc_braindecode_temporal_mask_misorder,simulation_trace,gpt-4.1-mini,temporal_state_inconsistency,FAIL,0.9,False,False,True,True,True,True,True,"The proposed patch changes the order of slicing and masking in losses.py but does not add the crucial comment in the test file, making it incomplete and not fully equivalent to the ground-truth patch.",1337
cc_braindecode_temporal_mask_misorder,contract_first,gpt-4.1-nano,temporal_state_inconsistency,FAIL,0.95,False,False,False,False,False,True,True,"The proposed patch incorrectly reverses the order of slicing and masking compared to the ground-truth, introduces a syntax error with an incomplete line 'masked_targets', and omits the test comment addition; thus it is incomplete, not equivalent, not minimal, not targeted, and not family-aware.",1355
cc_braindecode_temporal_mask_misorder,failure_mode_first,gpt-4.1-nano,temporal_state_inconsistency,FAIL,0.9,False,False,True,True,True,True,True,"The proposed patch reorders slicing and masking but omits the subsequent lines selecting masked_targets and masked_preds, making it incomplete and not semantically equivalent to the ground-truth patch.",1334
cc_braindecode_temporal_mask_misorder,multi_view,gpt-4.1-nano,temporal_state_inconsistency,FAIL,0.9,False,False,True,True,True,True,True,"The proposed patch reverses the order of slicing and masking incorrectly compared to the ground-truth patch, which explicitly moves slicing after masking; also, it omits the test file comment addition, making it incomplete and semantically different.",1344
cc_braindecode_temporal_mask_misorder,pattern_skeleton,gpt-4.1-nano,temporal_state_inconsistency,FAIL,0.95,False,False,True,True,False,True,True,"The proposed patch reverses the order of slicing and masking incorrectly, missing the ground-truth fix that slices targets after masking; it also omits the test comment addition, thus it is incomplete, not semantically equivalent, and not family-aware.",1347
cc_braindecode_temporal_mask_misorder,semantic_diff,gpt-4.1-nano,temporal_state_inconsistency,FAIL,0.95,False,False,True,True,True,True,True,"The proposed patch reorders slicing targets before masking, which is the opposite of the ground-truth fix that slices targets after masking; it also omits the added comment in the test file, making it incomplete and semantically different.",1344
cc_braindecode_temporal_mask_misorder,simulation_trace,gpt-4.1-nano,temporal_state_inconsistency,FAIL,0.9,False,False,True,True,True,True,True,"The proposed patch reorders the slicing and masking correctly but misses the test file comment addition, making it incomplete and not fully equivalent to the ground-truth patch.",1330
cc_simtrade_cache_clear_incomplete,multi_view,gpt-4.1-mini,incomplete_patch_trap,FAIL,0.95,False,False,False,True,False,True,True,"The proposed patch removes the conditional popitem and early return, reverting to a simple clear(), which does not restore the full cache wipe behavior as the ground-truth patch does; thus it is incomplete, not equivalent, and not family-aware.",1226
cc_simtrade_cache_clear_incomplete,role_decomposed,gpt-4.1-mini,incomplete_patch_trap,FAIL,0.95,False,False,False,True,False,True,True,"The proposed patch removes the conditional popitem and early return, reverting to just clearing the entire cache, which does not restore the full cache wipe behavior as the ground-truth patch does; thus it is incomplete, not equivalent, and not family-aware, although it modifies the same location minimally.",1236
cc_simtrade_cache_lru_trap,simulation_trace,gpt-4.1-mini,false_localization_trap,FAIL,0.95,False,False,True,False,False,True,True,"The proposed patch is incomplete and incorrect: it does not reinstate the _move_to_end call after cache hit in get(), does not remove the router hint comment in the test, and contains a syntax error (del self) instead of deleting the key from the cache; thus it fails to address the mutation fully and correctly.",1335
cc_simtrade_cache_ttl_dual,contract_first,gpt-4.1-mini,compensating_dual_mutation,FAIL,0.95,False,False,True,True,False,True,True,"The proposed patch fails to add the _ttl_in_ms attribute to MemoryCache and does not apply the scaling of ttl to milliseconds in the set method, thus it does not fully address the mutation and is not semantically equivalent to the ground-truth fix.",1344
cc_simtrade_cache_ttl_dual,direct_baseline,gpt-4.1-mini,compensating_dual_mutation,FAIL,1.0,False,False,False,False,False,True,True,"The proposed patch removes the scaling of TTL to milliseconds and the setting of the _ttl_in_ms attribute on MemoryCache, which the ground-truth patch explicitly adds to restore second-based TTL handling; thus, it fails to address the mutation fully, is not semantically equivalent, modifies different locations, and does not account for the compensating dual mutation pattern.",1372
cc_simtrade_cache_ttl_dual,failure_mode_first,gpt-4.1-mini,compensating_dual_mutation,FAIL,1.0,False,False,False,False,False,True,True,"The proposed patch fails to add the crucial line 'MemoryCache._ttl_in_ms = True' and does not complete the set method fix to use effective_ttl for expire_at, thus it is incomplete, not equivalent, not minimal, not targeted, and not compensating for the mutation family.",1413
cc_simtrade_cache_ttl_dual,multi_view,gpt-4.1-mini,compensating_dual_mutation,FAIL,1.0,False,False,False,False,False,True,True,"The proposed patch fails to add the _ttl_in_ms attribute to MemoryCache and does not apply the TTL scaling logic in set(), thus it does not address the mutation fully or correctly and modifies different locations than the ground-truth.",1398
cc_simtrade_cache_ttl_dual,pattern_skeleton,gpt-4.1-mini,compensating_dual_mutation,FAIL,1.0,False,False,False,False,False,True,True,"The proposed patch removes the scaling of TTL by 1000 and the setting of the _ttl_in_ms attribute on MemoryCache, which the ground-truth patch adds to restore second-based TTL handling; thus, it fails to address the mutation fully, is not semantically equivalent, modifies different locations, and does not account for the mutation family.",1362
cc_simtrade_cache_ttl_dual,role_decomposed,gpt-4.1-mini,compensating_dual_mutation,FAIL,0.9,False,False,True,False,False,True,True,"The proposed patch only partially modifies the set method and comments out the scaling logic without adding the crucial class attribute _ttl_in_ms = True on MemoryCache, thus it is incomplete, not equivalent, and misses the targeted location in decorator.py, failing to address the compensating dual mutation fully.",1415
cc_simtrade_cache_ttl_dual,semantic_diff,gpt-4.1-mini,compensating_dual_mutation,FAIL,0.95,False,False,True,True,False,True,True,"The proposed patch fails to add the _ttl_in_ms attribute to MemoryCache and does not apply the scaling of ttl to milliseconds in the set method, thus it does not fully address the mutation and is not semantically equivalent to the ground-truth fix.",1344
cc_simtrade_cache_ttl_dual,simulation_trace,gpt-4.1-mini,compensating_dual_mutation,FAIL,0.95,False,False,False,False,False,True,True,"The proposed patch fails to add the _ttl_in_ms attribute to MemoryCache and does not update the set method to scale TTL by 1000 when _ttl_in_ms is True, thus it does not fully or correctly address the mutation as the ground-truth patch does.",1417
cc_simtrade_cache_ttl_dual,contract_first,gpt-4.1-nano,compensating_dual_mutation,FAIL,1.0,False,False,False,False,False,True,True,"The proposed patch fails to add the _ttl_in_ms attribute to MemoryCache and does not apply the scaling of ttl to milliseconds in the set method, thus it does not address the mutation fully or correctly.",1334
cc_simtrade_cache_ttl_dual,failure_mode_first,gpt-4.1-nano,compensating_dual_mutation,FAIL,1.0,False,False,False,False,False,True,True,"The proposed patch fails to add the crucial class attribute '_ttl_in_ms = True' to MemoryCache and does not correctly compute 'effective_ttl' or set 'expire_at' using it, thus it is incomplete, not equivalent, not minimal, not targeted, and not compensating for the mutation family.",1416
cc_simtrade_cache_ttl_dual,pattern_skeleton,gpt-4.1-nano,compensating_dual_mutation,FAIL,1.0,False,False,False,False,False,True,True,"The proposed patch removes the scaling of TTL to milliseconds and the setting of the _ttl_in_ms attribute on MemoryCache, which the ground-truth patch adds to restore correct second-based TTL handling; thus, it fails to address the mutation fully, is not semantically equivalent, modifies different locations, and does not account for the compensating dual mutation pattern.",1364
cc_simtrade_cache_ttl_dual,role_decomposed,gpt-4.1-nano,compensating_dual_mutation,FAIL,0.9,False,False,False,False,False,True,True,"The proposed patch fails to add the crucial class attribute MemoryCache._ttl_in_ms = True and does not correctly implement the TTL scaling logic in the set method, thus it is incomplete, not equivalent, not minimal, not targeted to the correct locations, and does not address the compensating dual mutation pattern.",1418
cc_simtrade_cache_ttl_dual,simulation_trace,gpt-4.1-nano,compensating_dual_mutation,FAIL,1.0,False,False,False,False,False,True,True,"The proposed patch fails to add the _ttl_in_ms attribute to MemoryCache and does not adjust the expire_at calculation to use effective_ttl, thus it does not fully or correctly address the mutation as the ground-truth patch does.",1409
cc_simtrade_router_skip_primary,contract_first,gpt-4.1-mini,compensating_dual_mutation,FAIL,0.95,False,False,True,False,False,True,True,"The proposed patch removes the initialization of _skip_primary and the conditional skipping of the first source, which the ground-truth patch explicitly adds to fix the mutation; thus, it is incomplete, not equivalent, and not targeted to the mutation family.",1233
cc_simtrade_router_skip_primary,direct_baseline,gpt-4.1-mini,compensating_dual_mutation,FAIL,0.95,False,False,True,False,False,True,True,"The proposed patch removes the _skip_primary attribute initialization and the conditional skipping of the first source, whereas the ground-truth patch adds these to fix the mutation; thus, it is incomplete, not equivalent, and does not target the correct locations or address the mutation family.",1238
cc_simtrade_router_skip_primary,failure_mode_first,gpt-4.1-mini,compensating_dual_mutation,FAIL,0.95,False,False,True,True,False,True,True,"The proposed patch removes the _skip_primary attribute initialization and the conditional skipping of the primary source, whereas the ground-truth patch adds the _skip_primary attribute and the conditional skipping logic; thus, the proposed patch fails to address the mutation and is incomplete and not equivalent.",1286
cc_simtrade_router_skip_primary,multi_view,gpt-4.1-mini,compensating_dual_mutation,FAIL,0.95,False,False,True,True,False,True,True,"The proposed patch removes the _skip_primary attribute initialization and the conditional skipping of the first source, but the ground-truth patch only removes the initialization and the skipping logic, effectively disabling the skip; the proposed patch removes the attribute but also removes the skipping logic, which is incomplete and not equivalent, thus failing completeness and family-awareness.",1298
cc_simtrade_router_skip_primary,pattern_skeleton,gpt-4.1-mini,compensating_dual_mutation,FAIL,0.95,False,False,True,False,False,True,True,"The proposed patch removes the initialization of _skip_primary and the conditional skipping of the primary source in _try_fetch, failing to address the rogue _skip_primary coordination issue fixed by the ground-truth patch.",1225
cc_simtrade_router_skip_primary,role_decomposed,gpt-4.1-mini,compensating_dual_mutation,FAIL,0.95,False,False,True,True,False,True,True,"The proposed patch removes the _skip_primary attribute initialization and the conditional skipping of the first source, whereas the ground-truth patch only adds the skipping logic without removing the attribute; thus, the proposed patch is incomplete, not equivalent, and does not properly address the compensating dual mutation.",1289
cc_simtrade_router_skip_primary,semantic_diff,gpt-4.1-mini,compensating_dual_mutation,FAIL,0.95,False,False,True,False,False,True,True,"The proposed patch removes the initialization of _skip_primary and the conditional skipping of the first source, which the ground-truth patch explicitly adds to fix the mutation; thus, it is incomplete, not equivalent, and not targeted to the mutation family.",1233
cc_simtrade_router_skip_primary,simulation_trace,gpt-4.1-mini,compensating_dual_mutation,FAIL,0.95,False,False,False,False,False,True,True,"The proposed patch changes the initialization of _skip_primary to False and comments out the conditional skipping logic, whereas the ground-truth patch only adds the _skip_primary attribute without changing its value and adds the skipping logic in _try_fetch; thus, the proposed patch does not address the same locations or semantics and is incomplete and not equivalent.",1247
cc_simtrade_router_skip_primary,direct_baseline,gpt-4.1-nano,compensating_dual_mutation,FAIL,0.95,False,False,True,False,False,True,True,"The proposed patch removes the initialization of _skip_primary and the conditional skipping of the first source, which the ground-truth patch explicitly adds to fix the mutation; thus, it is incomplete, not equivalent, and not targeted to the mutation.",1232
cc_simtrade_router_skip_primary,pattern_skeleton,gpt-4.1-nano,compensating_dual_mutation,FAIL,0.95,False,False,True,False,False,True,True,"The proposed patch removes the initialization of _skip_primary and the conditional skipping of the first source in _try_fetch, whereas the ground-truth patch adds these two lines to restore the intended behavior; thus, the proposed patch is incomplete, not equivalent, and does not address the mutation family.",1242
cc_simtrade_router_skip_primary,role_decomposed,gpt-4.1-nano,compensating_dual_mutation,FAIL,1.0,False,False,False,False,False,True,True,"The proposed patch removes the _skip_primary attribute initialization and the conditional skipping of the primary source, whereas the ground-truth patch adds the _skip_primary attribute and the conditional skipping logic; thus, the proposed patch fails to address the mutation and modifies different locations incorrectly.",1285
cc_tmuxp_extension_incomplete_patch,contract_first,gpt-4.1-mini,incomplete_patch_trap,FAIL,0.9,False,False,True,True,False,True,True,"The proposed patch only re-adds '.tmuxp.yml' to LOCAL_WORKSPACE_FILES but does not update the docstring in the in_dir function as the ground-truth patch does, making it incomplete and not fully addressing the mutation.",1232
cc_tmuxp_extension_incomplete_patch,direct_baseline,gpt-4.1-mini,incomplete_patch_trap,FAIL,0.95,False,False,True,False,False,True,True,"The proposed patch only modifies the LOCAL_WORKSPACE_FILES list by adding '.tmuxp.yml' back, but it does not update the docstring in the in_dir function to reflect the change, making it incomplete and not fully equivalent to the ground-truth patch.",1237
cc_tmuxp_extension_incomplete_patch,failure_mode_first,gpt-4.1-mini,incomplete_patch_trap,FAIL,0.95,False,False,False,False,False,True,True,"The proposed patch reintroduces '.tmuxp.yml' into LOCAL_WORKSPACE_FILES, which is the opposite of the ground-truth patch that removes it; it also fails to update the helper text comment, making it incomplete, not equivalent, not minimal, not targeted, and not family-aware.",1244
