task_id,strategy,model,mutation_family,verdict,confidence,c1_complete,c2_correct,c3_minimal,c4_targeted,c5_family_aware,reasoning,tokens
cc_braindecode_maxnorm_shadow,contract_first,gpt-4.1-mini,semantic_shadow_mutation,FAIL,0.9,False,False,False,False,False,"The patch is incomplete and truncated, does not fully revert the mutation, introduces syntax errors, and does not correctly restore the original semantics or address the mutation family pattern.",1001
cc_braindecode_maxnorm_shadow,multi_view,gpt-4.1-mini,semantic_shadow_mutation,FAIL,0.9,False,False,False,False,False,"The patch changes the comment to say 'at least' instead of 'at most', which is incorrect since renorm enforces an upper bound, not a lower bound; it also introduces a reference to self.eps which does not exist in MaxNormParametrize, causing a semantic error; the patch does not address the MaxNorm class where the mutation was introduced, so it is not targeted or complete, and it does not properly restore the original max-norm behavior.",1016
cc_braindecode_maxnorm_shadow,failure_mode_first,gpt-4.1-nano,semantic_shadow_mutation,PASS,0.95,True,True,True,True,True,"The patch correctly restores the original lower bound clamp in right_inverse from max_norm_val/2 to max_norm_val, fully addressing the mutation without extraneous changes and targeting the exact mutated line.",944
cc_braindecode_maxnorm_shadow,pattern_skeleton,gpt-4.1-nano,semantic_shadow_mutation,FAIL,0.9,False,False,False,False,False,"The patch correctly updates the forward method to respect the max norm as a strict upper bound, but it incompletely and incorrectly modifies the right_inverse method by truncating it and leaving it non-functional; thus, it fails to fully revert the mutation and does not properly handle the mutation family semantics.",1137
cc_braindecode_maxnorm_shadow,semantic_diff,gpt-4.1-nano,semantic_shadow_mutation,FAIL,0.9,False,False,False,False,False,"The patch is incomplete and truncated, missing the full corrected logic for forward and right_inverse methods, failing to restore the original lower bound behavior and introducing unclear partial comments and code, thus not fully addressing the mutation or correctly reverting the semantic shadow mutation.",1123
cc_braindecode_mixup_scalar_shadow,simulation_trace,gpt-4.1-mini,semantic_shadow_mutation,FAIL,0.9,False,False,False,False,False,"The patch content is not provided, so it cannot be verified that the original nll_loss fallback was fully reinstated or that the misleading test guidance was cleaned up; thus, it fails completeness, correctness, minimality, targetedness, and family-aware criteria.",968
cc_braindecode_mixup_weight_trap,contract_first,gpt-4.1-mini,false_localization_trap,FAIL,0.9,False,False,False,False,False,"The patch only partially reverts the mixup weighting by removing the addition of (1 - lam) * loss_b and returns an incomplete expression (ret = torch.mul(lam, loss_a)) without adding the missing term, and also incorrectly removes the return statement and the misleading hint instead of fully restoring the original weighting and test comment, thus failing to fully and correctly address the mutation.",1207
cc_braindecode_mixup_weight_trap,direct_baseline,gpt-4.1-mini,false_localization_trap,FAIL,0.9,False,False,False,False,False,"The patch only partially reverts the mutation by changing the weighting to lam * loss_a but omits adding the (1 - lam) * loss_b term, and it also removes the misleading comment in the test without fully restoring the original logic, thus failing to fully and correctly revert the mutation.",1190
cc_braindecode_mixup_weight_trap,semantic_diff,gpt-4.1-mini,false_localization_trap,PASS,0.95,True,True,True,True,True,"The patch correctly restores the original weighting order of lambda and 1-lambda in the loss computation and removes the misleading comment in the test, fully addressing the mutation without introducing extraneous changes.",1075
cc_braindecode_temporal_mask_misorder,contract_first,gpt-4.1-mini,temporal_state_inconsistency,FAIL,0.9,False,False,False,True,False,"The patch correctly reorders slicing targets before masking but introduces an incomplete and syntactically invalid line 'masked_targets' without completing the masking operation, thus failing to fully and correctly revert the mutation.",1077
